target	model_class	lead	n_train	n_features	artifact_size_kb	elapsed_sec	status	error
wind_gust	Ridge	8	76248	31	5.5	0.55	ok	
wind_gust	Ridge	9	76248	31	5.5	0.55	ok	
wind_gust	Ridge	10	76248	31	5.5	0.58	ok	
wind_gust	Ridge	11	76248	31	5.5	0.57	ok	
wind_gust	Ridge	12	76248	31	5.5	0.56	ok	
wind_gust	Ridge	13	76248	31	5.5	0.55	ok	
wind_gust	Ridge	14	76248	31	5.6	0.55	ok	
wind_gust	Ridge	15	76248	31	5.6	0.55	ok	
wind_gust	Ridge	16	76248	31	5.6	0.55	ok	
wind_gust	Ridge	17	76248	31	5.6	0.56	ok	
wind_gust	Ridge	18	76248	31	5.6	0.56	ok	
wind_gust	Ridge	19	76248	31	5.6	0.55	ok	
wind_gust	Ridge	20	76248	31	5.6	0.56	ok	
wind_gust	Ridge	21	76248	31	5.6	0.56	ok	
wind_gust	Ridge	22	76248	31	5.6	0.61	ok	
wind_gust	Ridge	23	76248	31	5.5	0.55	ok	
wind_gust	Ridge	24	76248	31	5.5	0.57	ok	
wind_gust	Ridge	25	76248	31	5.6	0.54	ok	
wind_gust	Ridge	26	76248	31	5.5	0.56	ok	
wind_gust	Ridge	27	76248	31	5.6	0.55	ok	
wind_gust	Ridge	28	76248	31	5.6	0.55	ok	
wind_gust	Ridge	29	76248	31	5.5	0.55	ok	
wind_gust	Ridge	30	76248	31	5.5	0.56	ok	
wind_gust	Ridge	31	76248	31	5.5	0.56	ok	
wind_gust	Ridge	32	76248	31	5.5	0.54	ok	
wind_gust	Ridge	33	76248	31	5.5	0.55	ok	
wind_gust	Ridge	34	76248	31	5.6	0.54	ok	
wind_gust	Ridge	35	76248	31	5.6	0.56	ok	
wind_gust	Ridge	36	76248	31	5.5	0.57	ok	
wind_gust	Ridge	37	76248	31	5.6	0.57	ok	
wind_gust	Ridge	38	76248	31	5.5	0.56	ok	
wind_gust	Ridge	39	76248	31	5.5	0.55	ok	
wind_gust	Ridge	40	76248	31	5.6	0.54	ok	
wind_gust	Ridge	41	76248	31	5.6	0.56	ok	
wind_gust	Ridge	42	76248	31	5.6	0.55	ok	
wind_gust	Ridge	43	76248	31	5.6	0.56	ok	
wind_gust	Ridge	44	76248	31	5.6	0.55	ok	
wind_gust	Ridge	45	76248	31	5.5	0.57	ok	
wind_gust	Ridge	46	76248	31	5.6	0.54	ok	
wind_gust	Ridge	47	76248	31	5.5	0.56	ok	
