target,model_class,hp,validation_mode,lead_hours,shipped_in_v1,baseline_mae,corrected_mae,mae_reduction_pct,baseline_bias,corrected_bias,bias_correction_pct,n_stations,n_failures,n_eval,absolute_mae,target_mean,target_std,baseline_mae_for_reference,note
pressure,Ridge,alpha=0.1,within_station,72.0,True,6.752148611111112,2.780902254428019,58.81455793416842,-4.7768763888888905,0.2998472688937003,,,,7200.0,,,,,
pressure,Ridge,alpha=0.1,april,1.0,True,6.060950268336317,0.4087531599493492,93.2559558839352,-2.56318711985689,0.048143955103299475,,,,13975.0,,,,,
pressure,Ridge,alpha=0.1,april,6.0,True,6.0625192598459225,0.9962755131253913,83.56664168105732,-2.5753063575491417,0.12769813117495268,,,,13889.0,,,,,
pressure,Ridge,alpha=0.1,april,24.0,True,6.058929677134013,2.026683409760297,66.55047148989264,-2.6528306059265834,0.30375344714489616,,,,13566.0,,,,,
pressure,Ridge,alpha=0.1,april,48.0,True,6.0585370511841115,3.0243085229560274,50.081867992126234,-2.7928884644767016,0.33830768396013877,,,,13090.0,,,,,
pressure,Ridge,alpha=0.1,april,72.0,True,6.07176963847797,3.7777386718647605,37.7819170226007,-2.9150668459773774,0.374539147121052,,,,12641.0,,,,,
uv,HGB,"max_depth=10, lr=0.1",LOSO,1.0,True,,,,,,,26.0,,,0.30191934299329304,1.2116159788314924,1.4889944365880703,,
uv,HGB,"max_depth=10, lr=0.1",LOSO,6.0,True,,,,,,,26.0,,,0.3417833255492706,1.2116159788314924,1.4889944365880703,,
uv,HGB,"max_depth=10, lr=0.1",LOSO,24.0,True,,,,,,,26.0,,,0.31301635428071684,1.2116159788314924,1.4889944365880703,,
uv,HGB,"max_depth=10, lr=0.1",LOSO,48.0,True,,,,,,,26.0,,,0.3185976761100156,1.2116159788314924,1.4889944365880703,,
uv,HGB,"max_depth=10, lr=0.1",LOSO,72.0,True,,,,,,,26.0,,,0.31978293323959733,1.2116159788314924,1.4889944365880703,,
uv,HGB,"max_depth=10, lr=0.1",within_station,1.0,True,,,,,,,,,6960.0,0.2435311600933288,,,,
uv,HGB,"max_depth=10, lr=0.1",within_station,6.0,True,,,,,,,,,6960.0,0.26109421206570144,,,,
uv,HGB,"max_depth=10, lr=0.1",within_station,24.0,True,,,,,,,,,6960.0,0.2528073039494079,,,,
uv,HGB,"max_depth=10, lr=0.1",within_station,48.0,True,,,,,,,,,6960.0,0.25832807571721306,,,,
uv,HGB,"max_depth=10, lr=0.1",within_station,72.0,True,,,,,,,,,6960.0,0.2542808181125235,,,,
uv,HGB,"max_depth=10, lr=0.1",april,1.0,True,,,,,,,,,12339.0,0.5334314632926188,,,225.92888160490224,
uv,HGB,"max_depth=10, lr=0.1",april,6.0,True,,,,,,,,,12273.0,0.7204326124040872,,,227.14213885137204,
